Model,Year,Mileage,HorsePower,Fuel,Transmission,Price
BMW 3,2010,135000,105 kW (143 CP),Benzina,manuala,8000
BMW 3,2015,255000,160 kW (218 CP),Diesel,automata,15351
BMW 3,2015,114000,110 kW (150 CP),Diesel,automata,17800
BMW 3,2012,118500,120 kW (163 CP),Diesel,manuala,11000
BMW 3,2007,78000,95 kW (129 CP),Benzina,automata,9200
BMW 3,2007,98000,190 kW (258 CP),Benzina,automata,17500
BMW 3,2007,182770,120 kW (163 CP),Diesel,manuala,3600
BMW 3,2014,116700,135 kW (184 CP),Diesel,automata,18590
BMW 3,2011,180000,180 kW (245 CP),Diesel,automata,10600
BMW 3,2009,160000,130 kW (177 CP),Diesel,manuala,9850
BMW 3,2012,259000,85 kW (116 CP),Diesel,manuala,8400
BMW 3,2010,143500,105 kW (143 CP),Diesel,manuala,11999
BMW 3,2015,161000,120 kW (163 CP),Diesel,automata,15232
BMW 3,2014,187000,190 kW (258 CP),Diesel,automata,18300
BMW 3,2018,20400,185 kW (252 CP),Benzina,automata,30900
BMW 3,2018,23300,185 kW (252 CP),Benzina,automata,32900
BMW 3,2008,199000,130 kW (177 CP),Diesel,automata,5300
BMW 3,2012,89000,180 kW (245 CP),Benzina,automata,18900
BMW 3,2007,217500,120 kW (163 CP),Diesel,manuala,4200
BMW 3,2015,199980,135 kW (184 CP),Diesel,manuala,13990
BMW 3,2008,123186,160 kW (218 CP),Benzina,automata,13900
BMW 3,2007,131700,225 kW (306 CP),Benzina,manuala,17900
BMW 3,2008,59700,110 kW (150 CP),Benzina,manuala,9660
BMW 3,2008,91000,105 kW (143 CP),Benzina,manuala,9600
BMW 3,2016,117000,190 kW (258 CP),Diesel,automata,16499
BMW 3,2011,195000,150 kW (204 CP),Diesel,manuala,7999
BMW 3,2008,179000,110 kW (150 CP),Benzina,manuala,7500
BMW 3,2013,98250,160 kW (218 CP),Diesel,manuala,14300
BMW 3,2010,175000,130 kW (177 CP),Diesel,manuala,8750
BMW 3,2010,125000,150 kW (204 CP),Diesel,automata,10900
BMW 3,2016,211613,140 kW (190 CP),Diesel,automata,17700
BMW 3,2015,59000,110 kW (150 CP),Diesel,manuala,19400
BMW 3,2009,170000,105 kW (143 CP),Benzina,manuala,7200
BMW 3,2008,168000,130 kW (177 CP),Diesel,manuala,9499
BMW 3,2011,121000,105 kW (143 CP),Diesel,manuala,8300
BMW 3,2007,103000,114 kW (155 CP),Benzina,automata,6900
BMW 3,2008,87937,200 kW (272 CP),Benzina,automata,12990
BMW 3,2009,150000,160 kW (218 CP),Benzina,manuala,11500
BMW 3,2008,195000,105 kW (143 CP),Diesel,manuala,6190
BMW 3,2009,76314,105 kW (143 CP),Benzina,automata,9990
BMW 3,2009,135000,105 kW (143 CP),Benzina,automata,7300
BMW 3,2009,102000,105 kW (143 CP),Benzina,automata,8800
BMW 3,2018,22800,100 kW (136 CP),Benzina,automata,24150
